,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_kulturminner,har_oppvarmingskarakter,har_energikarakter,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,energireduksjon,effectreduksjon
0,1,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,182,91.26314770655188,,14.352123,67.268883,False,True,False,False,False,False,0,0,False,0,0,15600.0,-5.0,-5.0,18894.911261517205,0,0,7286.514571099399,0,0,10616.703238147058,0.8674118362,0,0,0.6514841606,0,0,6.7592931462666765,1.0706938060000002,0,0,0.6817644105999999,0,0,6.715372026327717,Solceller 100%,0,0
1,2,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,182,91.26387333116423,,14.352157,67.268822,False,True,False,False,False,False,0,0,False,0,0,15600.0,-5.0,-5.0,18894.911261517205,0,0,7286.514571099399,0,0,10616.787650545326,0.8674118362,0,0,0.6514841606,0,0,6.759346888763975,1.0706938060000002,0,0,0.6817644105999999,0,0,6.715425419612366,Solceller 100%,0,0
2,3,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,819,91.19076599346307,,14.371925,67.273054,False,True,False,False,False,False,0,0,False,0,0,107200.0,0.0,1.0,85027.10067682741,0,0,32789.3155699473,0,0,10608.2830248732,3.9033532629,0,0,2.9316787227,0,0,6.753932283426734,4.8181221270000005,0,0,3.0679398477,0,0,6.710045997766253,Solceller 100%,0,0
3,4,1,P1,,,,,,,,,Andre,TEK10/TEK17,1152,288.3683436138641,,14.351369,67.268618,False,True,False,False,False,False,0,0,False,0,0,201200.0,14.0,6.0,80344.0176026112,0,0,158341.3379115264,0,0,37495.1730925538,5.9733268992,0,0,32.2999467264,0,0,24.49869309214534,6.3833787648,0,0,24.6617438976,0,0,24.62809723286869,Solceller 100%,0,0
4,5,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.25117654195296,,14.383968,67.270926,False,True,False,False,False,False,0,0,False,0,0,54800.0,-3.0,-2.0,47237.278153793,0,0,18216.286427748502,0,0,10615.310624532956,2.1685295905,0,0,1.6287104015,0,0,6.758406516637305,2.676734515,0,0,1.7044110264999999,0,0,6.714491157917078,Solceller 100%,0,0
5,6,1,P1,,,,,,,,,Andre,TEK10/TEK17,1921,384.493919203204,,14.351205,67.268825,False,True,False,False,False,False,0,0,False,0,0,348000.0,31.0,19.0,133976.4390751876,0,0,264039.6789305922,0,0,49993.92746404569,9.960730011599999,0,0,53.8612826922,0,0,32.6651615233072,10.6445057354,0,0,41.1243142598,0,0,32.83770163157396,Solceller 100%,0,0
6,7,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.21225831037161,,14.371935,67.273117,False,True,False,False,False,False,0,0,False,0,0,107300.0,0.0,1.0,85130.91887057199,0,0,32829.351364294,0,0,10610.783240527078,3.908119262,0,0,2.935258306,0,0,6.755524085528985,4.82400506,0,0,3.071685806,0,0,6.711627456519052,Solceller 100%,0,0
7,8,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.19048474999397,,14.36567,67.270928,False,True,False,False,False,False,0,0,False,0,0,54800.0,-3.0,-2.0,47237.278153793,0,0,18216.286427748502,0,0,10608.250307631639,2.1685295905,0,0,1.6287104015,0,0,6.753911453474,2.676734515,0,0,1.7044110264999999,0,0,6.710025303164187,Solceller 100%,0,0
8,9,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,455,91.14260810892597,,14.384004,67.270737,False,True,False,False,False,False,0,0,False,0,0,54900.0,-3.0,-2.0,47237.278153793,0,0,18216.286427748502,0,0,10602.680785836352,2.1685295905,0,0,1.6287104015,0,0,6.75036552875006,2.676734515,0,0,1.7044110264999999,0,0,6.706502419456775,Solceller 100%,0,0
9,10,1,P1,,,,,,,,,Leilighet,TEK10/TEK17,820,91.21179876238045,,14.365634,67.270989,False,True,False,False,False,False,0,0,False,0,0,107300.0,0.0,1.0,85130.91887057199,0,0,32829.351364294,0,0,10610.729781000771,3.908119262,0,0,2.935258306,0,0,6.755490049670425,4.82400506,0,0,3.071685806,0,0,6.71159364182164,Solceller 100%,0,0
